dataset,size,algorithm,time_us,char_ops,sorted
random,100,standard_quick_sort,4,702,yes
random,100,standard_merge_sort,20,620,yes
random,100,string_quick_sort,1,701,yes
random,100,string_merge_sort,17,1172,yes
random,100,msd_radix_sort,25,364,yes
random,100,msd_radix_quick_sort,4,310,yes
random,200,standard_quick_sort,10,1672,yes
random,200,standard_merge_sort,37,1526,yes
random,200,string_quick_sort,3,1460,yes
random,200,string_merge_sort,37,2824,yes
random,200,msd_radix_sort,45,802,yes
random,200,msd_radix_quick_sort,9,730,yes
random,300,standard_quick_sort,18,3089,yes
random,300,standard_merge_sort,68,2556,yes
random,300,string_quick_sort,6,2582,yes
random,300,string_merge_sort,68,4682,yes
random,300,msd_radix_sort,59,1210,yes
random,300,msd_radix_quick_sort,13,1217,yes
random,400,standard_quick_sort,25,4085,yes
random,400,standard_merge_sort,88,3649,yes
random,400,string_quick_sort,9,3355,yes
random,400,string_merge_sort,93,6622,yes
random,400,msd_radix_sort,69,1644,yes
random,400,msd_radix_quick_sort,17,1767,yes
random,500,standard_quick_sort,31,5461,yes
random,500,standard_merge_sort,117,4842,yes
random,500,string_quick_sort,11,4385,yes
random,500,string_merge_sort,116,8704,yes
random,500,msd_radix_sort,85,2088,yes
random,500,msd_radix_quick_sort,22,2373,yes
random,600,standard_quick_sort,40,7303,yes
random,600,standard_merge_sort,154,6119,yes
random,600,string_quick_sort,15,5577,yes
random,600,string_merge_sort,146,10934,yes
random,600,msd_radix_sort,95,2506,yes
random,600,msd_radix_quick_sort,28,3004,yes
random,700,standard_quick_sort,43,8469,yes
random,700,standard_merge_sort,170,7461,yes
random,700,string_quick_sort,17,6242,yes
random,700,string_merge_sort,171,13244,yes
random,700,msd_radix_sort,107,2950,yes
random,700,msd_radix_quick_sort,34,3639,yes
random,800,standard_quick_sort,52,10470,yes
random,800,standard_merge_sort,202,8773,yes
random,800,string_quick_sort,21,7566,yes
random,800,string_merge_sort,196,15515,yes
random,800,msd_radix_sort,112,3388,yes
random,800,msd_radix_quick_sort,36,4238,yes
random,900,standard_quick_sort,58,11436,yes
random,900,standard_merge_sort,229,10197,yes
random,900,string_quick_sort,24,8859,yes
random,900,string_merge_sort,234,17941,yes
random,900,msd_radix_sort,142,3860,yes
random,900,msd_radix_quick_sort,42,4943,yes
random,1000,standard_quick_sort,66,13746,yes
random,1000,standard_merge_sort,254,11571,yes
random,1000,string_quick_sort,26,10015,yes
random,1000,string_merge_sort,246,20305,yes
random,1000,msd_radix_sort,136,4316,yes
random,1000,msd_radix_quick_sort,45,5652,yes
random,1100,standard_quick_sort,72,14811,yes
random,1100,standard_merge_sort,283,13049,yes
random,1100,string_quick_sort,30,11534,yes
random,1100,string_merge_sort,276,22811,yes
random,1100,msd_radix_sort,151,4788,yes
random,1100,msd_radix_quick_sort,49,6442,yes
random,1200,standard_quick_sort,80,17165,yes
random,1200,standard_merge_sort,308,14567,yes
random,1200,string_quick_sort,35,12244,yes
random,1200,string_merge_sort,303,25395,yes
random,1200,msd_radix_sort,160,5252,yes
random,1200,msd_radix_quick_sort,53,7123,yes
random,1300,standard_quick_sort,86,18685,yes
random,1300,standard_merge_sort,343,16068,yes
random,1300,string_quick_sort,33,13473,yes
random,1300,string_merge_sort,337,27950,yes
random,1300,msd_radix_sort,174,5750,yes
random,1300,msd_radix_quick_sort,54,7780,yes
random,1400,standard_quick_sort,89,20511,yes
random,1400,standard_merge_sort,352,17619,yes
random,1400,string_quick_sort,34,14219,yes
random,1400,string_merge_sort,345,30553,yes
random,1400,msd_radix_sort,183,6216,yes
random,1400,msd_radix_quick_sort,62,8582,yes
random,1500,standard_quick_sort,102,22088,yes
random,1500,standard_merge_sort,389,19116,yes
random,1500,string_quick_sort,35,15446,yes
random,1500,string_merge_sort,408,33090,yes
random,1500,msd_radix_sort,207,6734,yes
random,1500,msd_radix_quick_sort,64,9446,yes
random,1600,standard_quick_sort,112,24250,yes
